Z_Coordinate_in,R_Coordinate_in
-3.62498,3.50276
-3.46303,3.49568
-3.30232,3.47453
-3.14407,3.43944
-2.98947,3.39070
-2.83971,3.32867
-2.69593,3.25382
-2.55922,3.16672
-2.49384,3.11879
-1.81249,2.59597
-1.13114,2.07315
-1.01199,1.98894
-0.87232,1.90667
-0.72602,1.83689
-0.57418,1.78012
-0.41798,1.73680
-0.25860,1.70726
-0.09725,1.69172
0.00000,1.68918
0.05624,1.69163
0.11205,1.69898
0.16701,1.71117
0.22069,1.72809
0.27270,1.74963
0.28502,1.75554
0.44171,1.83172
0.60108,1.90730
0.76312,1.98226
0.92783,2.05661
1.09521,2.13035
1.26526,2.20347
1.43798,2.27599
1.61337,2.34789
1.79143,2.41919
1.97216,2.48987
2.15556,2.55994
2.34164,2.62939
2.53038,2.69824
2.72180,2.76648
2.91588,2.83410
3.11264,2.90111
3.31206,2.96751
3.51416,3.03330
3.71893,3.09848
3.92636,3.16305
4.13647,3.22700
4.34925,3.29035
4.56470,3.35308
4.78282,3.41520
5.00361,3.47671
5.22707,3.53760
5.45320,3.59789
5.68201,3.65756
5.91348,3.71663
6.14762,3.77508
6.38444,3.83292
